Walls,Value,Queens:
9223372036854775808,7,9232388041867265024
4611686018427387904,7,9232388041867265024
2305843009213693952,7,9232388041867265024
1152921504606846976,7,9232388041867265024
576460752303423488,7,9232388041867265024
288230376151711744,7,9232388041867265024
144115188075855872,7,9232388041867265024
18014398509481984,7,9232388041867265024
9007199254740992,7,9232388041867265024
4503599627370496,7,9232388041867265024
2251799813685248,7,9232388041867265024
1125899906842624,7,9232388041867265024
35184372088832,7,9232388041867265024
17592186044416,7,9232388041867265024
8796093022208,7,9232388041867265024
68719476736,7,9232388041867265024
